code|code_type|description|doseage_format|match_term|inclusion_exclusion
01014|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01015|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01016|ICD_9|Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01080|ICD_9|Other primary progressive tuberculosis, unspecified||tuberculosis|
01081|ICD_9|Other primary progressive tuberculosis, bacteriological or histological examination not done||tuberculosis|
01082|ICD_9|Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)||tuberculosis|
01083|ICD_9|Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01084|ICD_9|Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01085|ICD_9|Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01086|ICD_9|Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01095|ICD_9|Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01096|ICD_9|Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01100|ICD_9|Tuberculosis of lung, infiltrative, unspecified||tuberculosis|
01101|ICD_9|Tuberculosis of lung, infiltrative, bacteriological or histological examination not done||tuberculosis|
01102|ICD_9|Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)||tuberculosis|
01103|ICD_9|Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01104|ICD_9|Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01105|ICD_9|Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01106|ICD_9|Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01110|ICD_9|Tuberculosis of lung, nodular, unspecified||tuberculosis|
01111|ICD_9|Tuberculosis of lung, nodular, bacteriological or histological examination not done||tuberculosis|
01112|ICD_9|Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)||tuberculosis|
01113|ICD_9|Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01114|ICD_9|Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01115|ICD_9|Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01116|ICD_9|Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01120|ICD_9|Tuberculosis of lung with cavitation, unspecified||tuberculosis|
01121|ICD_9|Tuberculosis of lung with cavitation, bacteriological or histological examination not done||tuberculosis|
01122|ICD_9|Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)||tuberculosis|
01123|ICD_9|Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01124|ICD_9|Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01125|ICD_9|Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01126|ICD_9|Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01130|ICD_9|Tuberculosis of bronchus, unspecified||tuberculosis|
01131|ICD_9|Tuberculosis of bronchus, bacteriological or histological examination not done||tuberculosis|
01132|ICD_9|Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)||tuberculosis|
01133|ICD_9|Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01134|ICD_9|Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture||tuberculosis|
01135|ICD_9|Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01136|ICD_9|Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01145|ICD_9|Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01146|ICD_9|Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01155|ICD_9|Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01156|ICD_9|Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01165|ICD_9|Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01166|ICD_9|Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01175|ICD_9|Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01176|ICD_9|Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01180|ICD_9|Other specified pulmonary tuberculosis, unspecified||tuberculosis|
01181|ICD_9|Other specified pulmonary tuberculosis, bacteriological or histological examination not done||tuberculosis|
01182|ICD_9|Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)||tuberculosis|
01183|ICD_9|Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01184|ICD_9|Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01185|ICD_9|Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01186|ICD_9|Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01190|ICD_9|Pulmonary tuberculosis, unspecified, unspecified||tuberculosis|
01191|ICD_9|Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done||tuberculosis|
01192|ICD_9|Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)||tuberculosis|
01193|ICD_9|Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01194|ICD_9|Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01195|ICD_9|Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01196|ICD_9|Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01205|ICD_9|Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01206|ICD_9|Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01210|ICD_9|Tuberculosis of intrathoracic lymph nodes, unspecified||tuberculosis|
01211|ICD_9|Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done||tuberculosis|
01212|ICD_9|Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)||tuberculosis|
01213|ICD_9|Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01214|ICD_9|Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01215|ICD_9|Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01216|ICD_9|Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01220|ICD_9|Isolated tracheal or bronchial tuberculosis, unspecified||tuberculosis|
01221|ICD_9|Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done||tuberculosis|
01222|ICD_9|Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)||tuberculosis|
01223|ICD_9|Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01224|ICD_9|Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01225|ICD_9|Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01226|ICD_9|Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01235|ICD_9|Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01236|ICD_9|Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01280|ICD_9|Other specified respiratory tuberculosis, unspecified||tuberculosis|
01281|ICD_9|Other specified respiratory tuberculosis, bacteriological or histological examination not done||tuberculosis|
01282|ICD_9|Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)||tuberculosis|
01283|ICD_9|Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01284|ICD_9|Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01285|ICD_9|Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01286|ICD_9|Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01305|ICD_9|Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01306|ICD_9|Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01315|ICD_9|Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01316|ICD_9|Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01325|ICD_9|Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01326|ICD_9|Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01335|ICD_9|Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01336|ICD_9|Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01345|ICD_9|Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01346|ICD_9|Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01355|ICD_9|Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01356|ICD_9|Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01365|ICD_9|Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01366|ICD_9|Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01380|ICD_9|Other specified tuberculosis of central nervous system, unspecified||tuberculosis|
01381|ICD_9|Other specified tuberculosis of central nervous system, bacteriological or histological examination not done||tuberculosis|
01382|ICD_9|Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)||tuberculosis|
01383|ICD_9|Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01384|ICD_9|Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01385|ICD_9|Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01386|ICD_9|Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01390|ICD_9|Unspecified tuberculosis of central nervous system, unspecified||tuberculosis|
01391|ICD_9|Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done||tuberculosis|
01392|ICD_9|Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)||tuberculosis|
01393|ICD_9|Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01394|ICD_9|Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01395|ICD_9|Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01396|ICD_9|Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01405|ICD_9|Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01406|ICD_9|Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01480|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified||tuberculosis|
01481|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done||tuberculosis|
01482|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)||tuberculosis|
01483|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01484|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01485|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01486|ICD_9|Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01500|ICD_9|Tuberculosis of vertebral column, unspecified||tuberculosis|
01501|ICD_9|Tuberculosis of vertebral column, bacteriological or histological examination not done||tuberculosis|
01502|ICD_9|Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)||tuberculosis|
01503|ICD_9|Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01504|ICD_9|Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01505|ICD_9|Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01506|ICD_9|Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01510|ICD_9|Tuberculosis of hip, unspecified||tuberculosis|
01511|ICD_9|Tuberculosis of hip, bacteriological or histological examination not done||tuberculosis|
01512|ICD_9|Tuberculosis of hip, bacteriological or histological examination unknown (at present)||tuberculosis|
01513|ICD_9|Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01514|ICD_9|Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01515|ICD_9|Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01516|ICD_9|Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01520|ICD_9|Tuberculosis of knee, unspecified||tuberculosis|
01521|ICD_9|Tuberculosis of knee, bacteriological or histological examination not done||tuberculosis|
01522|ICD_9|Tuberculosis of knee, bacteriological or histological examination unknown (at present)||tuberculosis|
01523|ICD_9|Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01524|ICD_9|Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01525|ICD_9|Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01526|ICD_9|Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01550|ICD_9|Tuberculosis of limb bones, unspecified||tuberculosis|
01551|ICD_9|Tuberculosis of limb bones, bacteriological or histological examination not done||tuberculosis|
01552|ICD_9|Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)||tuberculosis|
01553|ICD_9|Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01554|ICD_9|Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01555|ICD_9|Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01556|ICD_9|Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01560|ICD_9|Tuberculosis of mastoid, unspecified||tuberculosis|
01561|ICD_9|Tuberculosis of mastoid, bacteriological or histological examination not done||tuberculosis|
01562|ICD_9|Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)||tuberculosis|
01563|ICD_9|Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01564|ICD_9|Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01565|ICD_9|Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01566|ICD_9|Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01570|ICD_9|Tuberculosis of other specified bone, unspecified||tuberculosis|
01571|ICD_9|Tuberculosis of other specified bone, bacteriological or histological examination not done||tuberculosis|
01572|ICD_9|Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)||tuberculosis|
01573|ICD_9|Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01574|ICD_9|Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01575|ICD_9|Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01576|ICD_9|Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01580|ICD_9|Tuberculosis of other specified joint, unspecified||tuberculosis|
01581|ICD_9|Tuberculosis of other specified joint, bacteriological or histological examination not done||tuberculosis|
01582|ICD_9|Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)||tuberculosis|
01583|ICD_9|Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01584|ICD_9|Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01585|ICD_9|Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01586|ICD_9|Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01590|ICD_9|Tuberculosis of unspecified bones and joints, unspecified||tuberculosis|
01591|ICD_9|Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done||tuberculosis|
01592|ICD_9|Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)||tuberculosis|
01593|ICD_9|Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01594|ICD_9|Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01595|ICD_9|Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01596|ICD_9|Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01600|ICD_9|Tuberculosis of kidney, unspecified||tuberculosis|
01601|ICD_9|Tuberculosis of kidney, bacteriological or histological examination not done||tuberculosis|
01602|ICD_9|Tuberculosis of kidney, bacteriological or histological examination unknown (at present)||tuberculosis|
01603|ICD_9|Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01604|ICD_9|Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01605|ICD_9|Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01606|ICD_9|Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01610|ICD_9|Tuberculosis of bladder, unspecified||tuberculosis|
01611|ICD_9|Tuberculosis of bladder, bacteriological or histological examination not done||tuberculosis|
01612|ICD_9|Tuberculosis of bladder, bacteriological or histological examination unknown (at present)||tuberculosis|
01613|ICD_9|Tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01614|ICD_9|Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01615|ICD_9|Tuberculosis of bladder, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01616|ICD_9|Tuberculosis of bladder, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01620|ICD_9|Tuberculosis of ureter, unspecified||tuberculosis|
01621|ICD_9|Tuberculosis of ureter, bacteriological or histological examination not done||tuberculosis|
01622|ICD_9|Tuberculosis of ureter, bacteriological or histological examination unknown (at present)||tuberculosis|
01623|ICD_9|Tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01624|ICD_9|Tuberculosis of ureter, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01625|ICD_9|Tuberculosis of ureter, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01626|ICD_9|Tuberculosis of ureter, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01630|ICD_9|Tuberculosis of other urinary organs, unspecified||tuberculosis|
01631|ICD_9|Tuberculosis of other urinary organs, bacteriological or histological examination not done||tuberculosis|
01632|ICD_9|Tuberculosis of other urinary organs, bacteriological or histological examination unknown (at present)||tuberculosis|
01633|ICD_9|Tuberculosis of other urinary organs, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01634|ICD_9|Tuberculosis of other urinary organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01635|ICD_9|Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01636|ICD_9|Tuberculosis of other urinary organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01640|ICD_9|Tuberculosis of epididymis, unspecified||tuberculosis|
01641|ICD_9|Tuberculosis of epididymis, bacteriological or histological examination not done||tuberculosis|
01642|ICD_9|Tuberculosis of epididymis, bacteriological or histological examination unknown (at present)||tuberculosis|
01643|ICD_9|Tuberculosis of epididymis, tubercle bacilli found (in sputum) by microscopy||tuberculosis|
01644|ICD_9|Tuberculosis of epididymis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture||tuberculosis|
01645|ICD_9|Tuberculosis of epididymis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically||tuberculosis|
01646|ICD_9|Tuberculosis of epididymis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]||tuberculosis|
01650|ICD_9|Tuberculosis of other male genital organs, unspecified||tuberculosis|
01651|ICD_9|Tuberculosis of other male genital organs, bacteriological or histological examination not done||tuberculosis|
01652|ICD_9|Tuberculosis of other male genital organs, bacteriological or histological examination unknown (at present)||tuberculosis|
